src_bytes,dst_bytes,logged_in,count,srv_count,dst_host_srv_count,dst_host_same_srv_rate,label,Prediction,Severity
276,1523,1,15,19,255,0.9,normal,Benign,Low
382,1227,1,2,3,255,1.0,normal,Benign,Low
613,2047,1,10,12,255,0.88,normal,Benign,Low
167,1837,1,9,3,255,0.95,normal,Benign,Low
552,1558,1,6,20,255,0.9,normal,Benign,Low
473,2390,1,4,9,255,0.98,normal,Benign,Low
18820,15655,0,91,66,127,0.03,neptune,Benign,Low
35484,34132,0,139,41,148,0.02,saint,Attack,High
830,2415,1,13,17,255,0.89,normal,Benign,Low
443,758,1,12,19,255,0.94,normal,Benign,Low
854,2200,1,19,12,255,0.92,normal,Benign,Low
10424,57159,0,209,73,125,0.24,normal,Attack,High
756,376,1,17,11,255,0.94,normal,Benign,Low
872,1063,1,19,15,255,0.86,normal,Benign,Low
665,2079,1,5,1,255,0.97,normal,Benign,Low
815,722,1,2,5,255,0.91,normal,Benign,Low
407,1431,1,3,14,255,0.99,normal,Benign,Low
269,1955,1,13,2,255,0.87,normal,Benign,Low
319,1564,1,18,17,255,0.96,normal,Benign,Low
206,480,1,18,8,255,0.92,normal,Benign,Low
195,1022,1,2,12,255,0.93,normal,Benign,Low
756,1761,1,5,12,255,0.88,normal,Benign,Low
269,1986,1,4,8,255,0.88,normal,Benign,Low
9980,47115,0,90,85,112,0.1,saint,Benign,Low
459,1480,1,15,12,255,0.93,normal,Benign,Low
180,2474,1,6,16,255,0.87,normal,Benign,Low
21520,54146,0,221,119,81,0.39,normal,Attack,High
789,659,1,7,20,255,0.93,normal,Benign,Low
25260,16631,0,80,96,92,0.08,normal,Benign,Low
25611,20581,0,237,79,60,0.22,normal,Attack,High
787,971,1,17,1,255,0.88,normal,Benign,Low
876,387,1,8,9,255,0.99,normal,Benign,Low
21229,32918,0,109,108,91,0.34,normal,Attack,High
882,1236,1,12,11,255,0.91,normal,Benign,Low
246,1811,1,5,19,255,0.94,normal,Benign,Low
686,1121,1,8,20,255,0.97,normal,Benign,Low
120,1803,1,12,2,255,0.99,normal,Benign,Low
594,1355,1,3,10,255,0.88,normal,Benign,Low
24186,26735,0,84,110,57,0.15,neptune,Attack,High
433,2261,1,14,4,255,0.92,normal,Benign,Low
508,1292,1,19,11,255,0.87,normal,Benign,Low
818,741,1,20,11,255,0.89,normal,Benign,Low
21564,54727,0,120,50,111,0.07,mscan,Attack,High
19558,16268,0,227,34,56,0.06,normal,Attack,High
781,1065,1,6,3,255,0.93,normal,Benign,Low
25271,22008,0,187,105,130,0.01,neptune,Attack,High
131,1816,1,15,3,255,0.89,normal,Benign,Low
485,2236,1,15,1,255,0.98,normal,Benign,Low
177,596,1,12,1,255,0.93,normal,Benign,Low
542,317,1,9,13,255,0.92,normal,Benign,Low
603,1428,1,16,14,255,0.96,normal,Benign,Low
472,1454,1,9,14,255,0.96,normal,Benign,Low
667,1372,1,14,12,255,0.94,normal,Benign,Low
8148,51185,0,189,48,32,0.18,neptune,Attack,High
681,2289,1,1,19,255,0.88,normal,Benign,Low
689,464,1,9,10,255,0.86,normal,Benign,Low
863,948,1,16,10,255,0.96,normal,Benign,Low
30273,50543,0,117,120,124,0.37,normal,Attack,High
567,1945,1,10,2,255,0.93,normal,Benign,Low
157,1080,1,19,3,255,0.89,normal,Benign,Low
229,2243,1,1,1,255,0.91,normal,Benign,Low
764,2051,1,9,8,255,0.98,normal,Benign,Low
148,713,1,10,15,255,0.95,normal,Benign,Low
756,1211,1,12,10,255,0.99,normal,Benign,Low
197,1183,1,20,9,255,0.88,normal,Benign,Low
428,1897,1,20,13,255,0.86,normal,Benign,Low
825,1964,1,20,15,255,0.97,normal,Benign,Low
17834,57851,0,150,62,123,0.19,normal,Attack,High
497,775,1,10,20,255,0.92,normal,Benign,Low
28680,20044,0,209,45,18,0.17,normal,Attack,High
612,2066,1,17,16,255,0.85,normal,Benign,Low
331,321,1,5,18,255,0.85,normal,Benign,Low
199,352,1,1,13,255,0.87,normal,Benign,Low
309,1618,1,14,11,255,0.91,normal,Benign,Low
646,1532,1,13,4,255,0.88,normal,Benign,Low
404,553,1,9,10,255,0.9,normal,Benign,Low
658,1408,1,4,9,255,0.99,normal,Benign,Low
11653,53527,0,196,39,95,0.06,neptune,Attack,High
852,884,1,11,7,255,0.9,normal,Benign,Low
481,2331,1,4,10,255,0.91,normal,Benign,Low
698,468,1,13,9,255,0.85,normal,Benign,Low
706,819,1,17,14,255,0.86,normal,Benign,Low
691,2346,1,8,7,255,0.93,normal,Benign,Low
675,1276,1,7,11,255,0.98,normal,Benign,Low
589,356,1,19,20,255,0.95,normal,Benign,Low
329,902,1,6,9,255,0.88,normal,Benign,Low
376,1742,1,19,1,255,0.96,normal,Benign,Low
29376,48540,0,101,58,170,0.05,normal,Attack,High
30927,15921,0,175,79,158,0.25,portsweep,Benign,Low
30502,51545,0,123,97,13,0.03,normal,Attack,High
260,453,1,19,10,255,0.93,normal,Benign,Low
519,635,1,9,6,255,0.99,normal,Benign,Low
678,1177,1,10,10,255,0.92,normal,Benign,Low
140,1045,1,18,8,255,0.88,normal,Benign,Low
22896,39503,0,218,83,47,0.4,normal,Attack,High
317,2093,1,10,8,255,0.92,normal,Benign,Low
365,1309,1,5,12,255,0.86,normal,Benign,Low
258,1587,1,11,4,255,0.91,normal,Benign,Low
507,968,1,11,17,255,0.89,normal,Benign,Low
456,1415,1,19,7,255,0.87,normal,Benign,Low
564,992,1,17,1,255,0.89,normal,Benign,Low
889,1594,1,18,4,255,0.93,normal,Benign,Low
468,717,1,18,14,255,0.96,normal,Benign,Low
31674,50734,0,252,69,69,0.28,normal,Attack,High
451,404,1,20,1,255,0.87,normal,Benign,Low
12455,43769,0,103,50,157,0.04,portsweep,Attack,High
611,2137,1,16,10,255,0.92,normal,Benign,Low
282,759,1,6,19,255,0.93,normal,Benign,Low
459,1934,1,6,6,255,0.99,normal,Benign,Low
325,1886,1,16,14,255,0.93,normal,Benign,Low
234,2002,1,5,8,255,0.96,normal,Benign,Low
520,564,1,2,12,255,0.95,normal,Benign,Low
31939,16135,0,177,76,99,0.4,normal,Benign,Low
707,1201,1,3,3,255,0.85,normal,Benign,Low
18871,26664,0,109,102,12,0.25,normal,Attack,High
17767,33902,0,94,72,141,0.22,normal,Attack,High
27772,36600,0,219,94,138,0.06,normal,Attack,High
8353,31682,0,206,34,98,0.18,mscan,Benign,Low
280,559,1,16,14,255,0.94,normal,Benign,Low
216,1976,1,12,2,255,1.0,normal,Benign,Low
35159,19041,0,188,99,91,0.04,saint,Benign,Low
245,1015,1,5,4,255,0.9,normal,Benign,Low
304,2009,1,9,1,255,0.88,normal,Benign,Low
801,2247,1,13,10,255,0.99,normal,Benign,Low
645,1582,1,5,9,255,0.95,normal,Benign,Low
16787,17243,0,118,50,132,0.1,saint,Benign,Low
27064,52505,0,183,118,53,0.32,mscan,Attack,High
20698,33879,0,157,100,160,0.37,neptune,Attack,High
37840,46396,0,84,86,104,0.35,saint,Attack,High
565,2280,1,18,10,255,0.96,normal,Benign,Low
35559,32634,0,193,34,66,0.19,mscan,Attack,High
34391,24478,0,139,111,31,0.35,mscan,Attack,High
428,432,1,19,19,255,0.94,normal,Benign,Low
522,799,1,11,19,255,0.97,normal,Benign,Low
871,256,1,13,17,255,0.99,normal,Benign,Low
36091,30506,0,92,76,33,0.22,normal,Attack,High
571,1080,1,13,13,255,0.86,normal,Benign,Low
813,2061,1,1,7,255,0.93,normal,Benign,Low
138,1836,1,20,6,255,0.86,normal,Benign,Low
10975,56517,0,242,110,116,0.06,normal,Attack,High
30007,41169,0,135,93,106,0.15,neptune,Attack,High
821,2290,1,3,20,255,0.92,normal,Benign,Low
25335,19605,0,177,77,132,0.04,neptune,Attack,High
267,1922,1,16,20,255,0.88,neptune,Benign,Low
522,1004,1,12,7,255,0.88,normal,Benign,Low
591,516,1,16,17,255,0.88,normal,Benign,Low
553,1134,1,20,20,255,0.9,normal,Benign,Low
10844,23938,0,117,79,172,0.23,portsweep,Attack,High
566,1486,1,14,7,255,0.92,normal,Benign,Low
366,1437,1,15,5,255,0.86,normal,Benign,Low
392,1509,1,4,18,255,0.93,normal,Benign,Low
550,1524,1,9,9,255,0.96,normal,Benign,Low
36187,21178,0,224,57,89,0.32,mscan,Attack,High
621,2030,1,20,9,255,0.97,normal,Benign,Low
754,2352,1,18,7,255,0.97,normal,Benign,Low
521,322,1,20,5,255,0.96,normal,Benign,Low
10799,47661,0,166,75,57,0.38,saint,Attack,High
844,2499,1,7,17,255,0.87,normal,Benign,Low
449,1760,1,20,4,255,0.85,normal,Benign,Low
826,1814,1,18,2,255,0.98,normal,Benign,Low
514,968,1,11,13,255,0.91,normal,Benign,Low
10334,55260,0,172,120,44,0.12,normal,Attack,High
180,597,1,6,15,255,0.92,normal,Benign,Low
571,1860,1,7,8,255,0.87,normal,Benign,Low
595,369,1,8,16,255,0.95,normal,Benign,Low
145,1948,1,18,19,255,0.98,normal,Benign,Low
798,1362,1,18,20,255,0.94,normal,Benign,Low
508,2458,1,16,19,255,0.89,normal,Benign,Low
576,2418,1,17,19,255,0.89,normal,Benign,Low
13532,43715,0,89,45,107,0.26,mscan,Attack,High
451,2459,1,5,13,255,0.91,normal,Benign,Low
545,338,1,18,6,255,0.97,normal,Benign,Low
13757,35427,0,195,76,140,0.24,portsweep,Attack,High
16967,48812,0,221,107,106,0.39,saint,Attack,High
524,1205,1,20,13,255,0.99,normal,Benign,Low
323,2271,1,20,17,255,0.87,mscan,Benign,Low
156,2294,1,13,9,255,0.97,normal,Benign,Low
306,2307,1,18,4,255,0.97,normal,Benign,Low
26366,18013,0,118,119,177,0.05,mscan,Benign,Low
279,1230,1,6,1,255,0.94,normal,Benign,Low
281,1468,1,11,18,255,0.99,normal,Benign,Low
340,449,1,19,11,255,0.99,normal,Benign,Low
36857,15620,0,178,51,54,0.23,normal,Benign,Low
641,1826,1,19,3,255,0.87,normal,Benign,Low
579,1015,1,20,2,255,0.95,mscan,Benign,Low
467,1263,1,20,10,255,0.99,normal,Benign,Low
19289,20140,0,131,87,163,0.38,portsweep,Attack,High
217,2171,1,17,4,255,0.99,normal,Benign,Low
151,773,1,18,17,255,0.85,normal,Benign,Low
810,2061,1,19,5,255,0.86,normal,Benign,Low
835,1063,1,11,7,255,0.96,normal,Benign,Low
280,716,1,18,9,255,0.97,normal,Benign,Low
34887,36118,0,116,64,67,0.38,saint,Attack,High
359,1173,1,16,9,255,0.86,normal,Benign,Low
765,722,1,11,18,255,0.95,normal,Benign,Low
35404,27382,0,159,63,12,0.12,mscan,Attack,High
536,496,1,17,11,255,0.98,normal,Benign,Low
587,2161,1,1,1,255,0.99,normal,Benign,Low
232,1228,1,8,1,255,0.98,normal,Benign,Low
140,525,1,7,3,255,0.95,normal,Benign,Low
732,1595,1,18,12,255,0.86,normal,Benign,Low
33044,28504,0,219,36,112,0.14,portsweep,Attack,High
421,1845,1,20,2,255,0.9,normal,Benign,Low
461,2142,1,14,14,255,0.89,normal,Benign,Low
377,1666,1,10,4,255,0.94,normal,Benign,Low
751,717,1,10,18,255,0.99,normal,Benign,Low
23905,58469,0,178,90,165,0.13,portsweep,Attack,High
273,624,1,13,14,255,0.91,normal,Benign,Low
24643,58587,0,217,35,54,0.35,neptune,Attack,High
569,1172,1,5,10,255,0.99,normal,Benign,Low
642,822,1,19,5,255,0.91,normal,Benign,Low
14726,38233,0,151,57,160,0.2,saint,Attack,High
34499,50056,0,85,67,169,0.15,neptune,Attack,High
34793,29396,0,94,98,164,0.06,mscan,Attack,High
791,1459,1,11,11,255,0.99,normal,Benign,Low
698,2200,1,11,4,255,0.92,normal,Benign,Low
837,1282,1,13,12,255,0.92,normal,Benign,Low
12645,20550,0,168,47,165,0.3,neptune,Attack,High
24813,41134,0,227,76,34,0.18,saint,Attack,High
269,1761,1,6,11,255,0.87,normal,Benign,Low
19387,17486,0,193,58,109,0.22,saint,Attack,High
157,1866,1,2,3,255,0.92,normal,Benign,Low
332,1866,1,11,14,255,1.0,normal,Benign,Low
9495,20656,0,153,92,62,0.14,mscan,Attack,High
897,1835,1,2,5,255,0.91,normal,Benign,Low
392,1999,1,5,7,255,0.92,normal,Benign,Low
776,734,1,12,10,255,0.89,normal,Benign,Low
819,1577,1,10,1,255,0.94,normal,Benign,Low
718,2483,1,6,7,255,0.92,normal,Benign,Low
11724,35401,0,191,50,152,0.05,mscan,Attack,High
770,1814,1,18,4,255,0.89,normal,Benign,Low
24571,37345,0,90,115,150,0.1,neptune,Attack,High
489,971,1,4,20,255,0.96,normal,Benign,Low
34590,20599,0,124,78,151,0.03,normal,Attack,High
696,1985,1,4,16,255,0.93,normal,Benign,Low
176,1676,1,5,6,255,0.96,normal,Benign,Low
691,1691,1,15,13,255,0.92,normal,Benign,Low
27472,22580,0,242,87,64,0.1,normal,Attack,High
271,462,1,11,11,255,0.99,normal,Benign,Low
726,2137,1,10,2,255,0.85,normal,Benign,Low
496,1088,1,1,7,255,0.93,normal,Benign,Low
37134,47599,0,183,110,86,0.3,saint,Attack,High
434,1197,1,2,11,255,0.88,normal,Benign,Low
178,1601,1,16,7,255,0.91,normal,Benign,Low
808,1331,1,9,3,255,0.88,normal,Benign,Low
532,2027,1,8,6,255,0.92,normal,Benign,Low
253,1794,1,12,13,255,0.97,normal,Benign,Low
545,781,1,3,3,255,0.94,normal,Benign,Low
225,723,1,5,7,255,0.87,normal,Benign,Low
32930,36676,0,240,78,12,0.34,normal,Attack,High
214,1222,1,9,16,255,0.93,normal,Benign,Low
337,1773,1,8,19,255,0.98,normal,Benign,Low
31346,43763,0,221,48,133,0.08,normal,Attack,High
381,2424,1,20,17,255,0.97,normal,Benign,Low
307,365,1,12,14,255,0.99,normal,Benign,Low
144,1311,1,4,20,255,0.95,normal,Benign,Low
752,1845,1,15,18,255,0.94,portsweep,Benign,Low
13429,57641,0,251,114,176,0.36,mscan,Attack,High
328,1419,1,15,18,255,0.99,normal,Benign,Low
692,2012,1,12,11,255,0.96,normal,Benign,Low
125,675,1,9,16,255,0.98,normal,Benign,Low
268,1488,1,4,10,255,0.91,normal,Benign,Low
286,2166,1,12,17,255,0.92,normal,Benign,Low
38344,19667,0,230,43,90,0.22,neptune,Benign,Low
299,449,1,13,11,255,0.89,normal,Benign,Low
611,445,1,6,6,255,0.89,normal,Benign,Low
199,480,1,1,17,255,0.86,normal,Benign,Low
630,1820,1,1,15,255,0.88,normal,Benign,Low
774,1673,1,20,11,255,0.89,normal,Benign,Low
25650,19440,0,230,73,135,0.04,saint,Attack,High
209,2208,1,6,4,255,0.89,normal,Benign,Low
354,267,1,13,5,255,0.88,normal,Benign,Low
449,2001,1,12,17,255,0.92,normal,Benign,Low
9838,27399,0,182,31,154,0.29,neptune,Attack,High
706,956,1,13,9,255,0.97,normal,Benign,Low
32552,53655,0,207,76,153,0.07,neptune,Attack,High
757,1029,1,6,5,255,0.93,normal,Benign,Low
8543,56480,0,229,72,122,0.39,portsweep,Benign,Low
28593,29545,0,211,84,146,0.37,mscan,Attack,High
29749,57560,0,184,88,55,0.09,normal,Attack,High
171,2079,1,17,6,255,0.86,normal,Benign,Low
475,1242,1,1,13,255,0.98,normal,Benign,Low
37734,25957,0,92,64,170,0.25,saint,Attack,High
893,257,1,4,10,255,0.87,normal,Benign,Low
12813,34276,0,111,50,37,0.34,neptune,Attack,High
33153,20658,0,214,36,87,0.28,saint,Attack,High
334,1889,1,8,13,255,0.88,normal,Benign,Low
301,1589,1,20,8,255,0.95,normal,Benign,Low
499,2266,1,6,15,255,0.95,normal,Benign,Low
18556,31802,0,127,110,111,0.16,portsweep,Attack,High
153,2312,1,15,20,255,0.96,normal,Benign,Low
889,2054,1,5,1,255,0.95,normal,Benign,Low
834,1059,1,20,11,255,1.0,normal,Benign,Low
32788,58909,0,233,97,169,0.29,saint,Attack,High
738,1546,1,7,9,255,0.92,normal,Benign,Low
180,2471,1,10,14,255,0.99,normal,Benign,Low
236,2396,1,16,20,255,0.99,portsweep,Benign,Low
39590,16962,0,99,88,106,0.36,portsweep,Benign,Low
330,2154,1,2,1,255,0.98,normal,Benign,Low
528,1029,1,11,8,255,0.99,normal,Benign,Low
23843,43882,0,195,61,115,0.26,saint,Attack,High
36716,52385,0,219,101,33,0.05,normal,Attack,High
881,2213,1,6,19,255,0.9,normal,Benign,Low
782,1605,1,17,10,255,0.95,normal,Benign,Low
23971,54351,0,118,32,41,0.33,saint,Attack,High
620,409,1,7,16,255,0.96,normal,Benign,Low
340,755,1,8,16,255,0.9,normal,Benign,Low
30491,56144,0,175,108,99,0.07,portsweep,Attack,High
830,1148,1,3,7,255,0.87,normal,Benign,Low
21682,27587,0,98,49,34,0.04,normal,Attack,High
266,549,1,9,7,255,0.86,normal,Benign,Low
717,1223,1,13,20,255,0.89,normal,Benign,Low
662,658,1,13,18,255,0.94,normal,Benign,Low
169,384,1,17,1,255,0.99,normal,Benign,Low
703,756,1,2,20,255,0.9,normal,Benign,Low
16435,45468,0,151,31,124,0.39,normal,Attack,High
39579,15232,0,245,74,21,0.36,portsweep,Benign,Low
21945,19043,0,169,114,114,0.39,saint,Benign,Low
458,387,1,1,17,255,0.98,normal,Benign,Low
653,634,1,12,18,255,0.86,normal,Benign,Low
9446,19981,0,90,119,171,0.09,neptune,Benign,Low
783,2242,1,2,4,255,0.91,normal,Benign,Low
508,1440,1,4,3,255,0.94,normal,Benign,Low
195,2258,1,11,4,255,0.93,normal,Benign,Low
824,1299,1,16,9,255,0.92,normal,Benign,Low
609,990,1,3,3,255,0.91,normal,Benign,Low
597,1333,1,7,9,255,1.0,normal,Benign,Low
264,1548,1,6,14,255,0.86,normal,Benign,Low
723,985,1,15,14,255,0.88,normal,Benign,Low
745,1917,1,8,20,255,0.97,normal,Benign,Low
39129,24560,0,96,118,174,0.31,portsweep,Attack,High
149,1833,1,11,19,255,0.87,normal,Benign,Low
883,1717,1,8,15,255,1.0,normal,Benign,Low
808,1468,1,5,20,255,1.0,normal,Benign,Low
723,2191,1,4,18,255,0.99,normal,Benign,Low
170,1564,1,6,17,255,0.89,normal,Benign,Low
260,1036,1,11,6,255,0.87,normal,Benign,Low
129,1576,1,9,19,255,0.96,normal,Benign,Low
32797,32772,0,86,38,142,0.08,saint,Attack,High
403,1653,1,17,6,255,0.91,normal,Benign,Low
701,726,1,13,1,255,0.89,normal,Benign,Low
26161,21412,0,118,97,51,0.14,portsweep,Attack,High
237,1311,1,6,15,255,0.91,normal,Benign,Low
34663,54160,0,188,63,101,0.33,neptune,Attack,High
35012,29222,0,201,87,33,0.39,portsweep,Attack,High
797,1472,1,1,16,255,0.99,normal,Benign,Low
20868,55282,0,172,35,88,0.2,normal,Attack,High
674,1379,1,7,4,255,0.94,neptune,Benign,Low
791,645,1,2,5,255,0.92,normal,Benign,Low
778,598,1,16,3,255,0.9,normal,Benign,Low
151,392,1,6,5,255,0.88,normal,Benign,Low
9315,58763,0,81,31,137,0.39,neptune,Attack,High
691,2264,1,8,15,255,0.9,normal,Benign,Low
335,676,1,7,7,255,0.97,normal,Benign,Low
337,554,1,6,16,255,0.9,normal,Benign,Low
392,1608,1,5,3,255,0.89,normal,Benign,Low
247,728,1,9,3,255,0.89,normal,Benign,Low
859,358,1,3,5,255,0.94,normal,Benign,Low
351,295,1,8,17,255,0.89,normal,Benign,Low
9576,51793,0,85,103,120,0.2,normal,Benign,Low
434,1035,1,3,19,255,0.86,normal,Benign,Low
150,926,1,9,11,255,0.99,normal,Benign,Low
139,2123,1,19,9,255,0.88,normal,Benign,Low
565,524,1,7,9,255,0.9,normal,Benign,Low
37031,43328,0,130,105,34,0.09,saint,Attack,High
39663,58306,0,120,64,65,0.23,saint,Attack,High
358,466,1,13,17,255,1.0,normal,Benign,Low
838,497,1,12,11,255,0.89,normal,Benign,Low
395,1376,1,10,5,255,1.0,normal,Benign,Low
783,2070,1,7,6,255,0.91,normal,Benign,Low
24018,36997,0,238,51,32,0.2,normal,Attack,High
697,580,1,9,2,255,0.9,normal,Benign,Low
13049,15007,0,162,105,153,0.15,normal,Benign,Low
779,547,1,2,5,255,0.89,normal,Benign,Low
202,386,1,6,11,255,0.87,normal,Benign,Low
835,1930,1,3,14,255,0.94,normal,Benign,Low
487,2478,1,2,15,255,0.96,normal,Benign,Low
790,1829,1,18,1,255,0.92,normal,Benign,Low
8144,34517,0,212,36,140,0.26,neptune,Benign,Low
819,644,1,10,19,255,0.87,normal,Benign,Low
233,2498,1,20,6,255,0.95,normal,Benign,Low
642,1721,1,15,3,255,0.9,normal,Benign,Low
268,753,1,7,14,255,0.95,normal,Benign,Low
178,813,1,18,7,255,0.95,normal,Benign,Low
851,1826,1,11,10,255,0.94,normal,Benign,Low
28495,53852,0,87,55,74,0.09,saint,Attack,High
31957,53737,0,242,95,158,0.29,saint,Attack,High
817,1994,1,6,19,255,0.94,normal,Benign,Low
31682,26084,0,205,87,34,0.32,neptune,Attack,High
30551,15042,0,253,67,88,0.35,neptune,Benign,Low
276,1634,1,20,20,255,0.95,normal,Benign,Low
277,1101,1,4,19,255,0.96,normal,Benign,Low
144,1814,1,19,3,255,0.9,normal,Benign,Low
12183,42615,0,109,47,146,0.14,portsweep,Attack,High
587,1682,1,19,13,255,0.97,normal,Benign,Low
379,997,1,18,15,255,0.87,normal,Benign,Low
755,302,1,4,1,255,0.94,normal,Benign,Low
852,2229,1,10,11,255,0.9,normal,Benign,Low
428,1133,1,11,20,255,0.89,normal,Benign,Low
359,2346,1,16,1,255,0.9,normal,Benign,Low
639,2020,1,3,5,255,0.99,normal,Benign,Low
801,2329,1,3,13,255,0.98,saint,Benign,Low
886,659,1,12,7,255,0.9,normal,Benign,Low
